neighborhood,address,units,stories,construction,apn,block,lot,last_permit,streetview,recorder_lookup
Inner Richmond,4005 California St,16,4,wood frame (5),1362014,1362,014,2026-06-09T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.785317712,-122.460557189",https://sfassessor.org/ (search APN 1362014)
Inner Richmond,550 Lake St,16,3,wood frame (5),1352021L,1352,021L,1987-08-10T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.786881989,-122.465556408",https://sfassessor.org/ (search APN 1352021L)
Inner Richmond,156 09th Av,15,3,wood frame (5),1368032,1368,032,2023-09-07T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.785474003,-122.467491482",https://sfassessor.org/ (search APN 1368032)
Inner Richmond,190 Funston Av,15,4,wood frame (5),1372023,1372,023,2023-07-06T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.784683566,-122.471762591",https://sfassessor.org/ (search APN 1372023)
Inner Richmond,230 12th Av,15,3,wood frame (5),1422045,1422,045,2026-07-27T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.783881735,-122.470606095",https://sfassessor.org/ (search APN 1422045)
Inner Richmond,237 Arguello Bl,15,4,wood frame (5),1361047,1361,047,2006-07-18T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.786240687,-122.459612971",https://sfassessor.org/ (search APN 1361047)
Inner Richmond,237 Arguello Bl,15,4,wood frame (5),1361049,1361,049,2016-05-17T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.786240687,-122.459612971",https://sfassessor.org/ (search APN 1361049)
Inner Richmond,237 Arguello Bl,15,4,wood frame (5),1361055,1361,055,2014-02-05T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.786240687,-122.459612971",https://sfassessor.org/ (search APN 1361055)
Inner Richmond,237 Arguello Bl,15,4,wood frame (5),1361051,1361,051,2019-09-25T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.786240687,-122.459612971",https://sfassessor.org/ (search APN 1361051)
Inner Richmond,237 Arguello Bl,15,4,wood frame (5),1361048,1361,048,2016-05-17T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.786240687,-122.459612971",https://sfassessor.org/ (search APN 1361048)
Inner Richmond,237 Arguello Bl,15,4,wood frame (5),1361059,1361,059,2013-08-30T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.786240687,-122.459612971",https://sfassessor.org/ (search APN 1361059)
Inner Richmond,237 Arguello Bl,15,4,wood frame (5),1361058,1361,058,2019-06-06T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.786240687,-122.459612971",https://sfassessor.org/ (search APN 1361058)
Inner Richmond,271 06th Av,15,3,wood frame (5),1427011,1427,011,2024-05-06T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.783592652,-122.464794804",https://sfassessor.org/ (search APN 1427011)
Inner Richmond,337 10th Av,15,4,wood frame (5),1442008,1442,008,2025-08-01T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.782029694,-122.468978884",https://sfassessor.org/ (search APN 1442008)
Inner Richmond,3500 Fulton St,15,3,wood frame (5),1654018B,1654,018B,1986-05-29T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.773423926,-122.469364131",https://sfassessor.org/ (search APN 1654018B)
Inner Richmond,401 Lake St,15,3,wood frame (5),1365001,1365,001,2017-07-06T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.786465111,-122.463827006",https://sfassessor.org/ (search APN 1365001)
Inner Richmond,420 07th Av,15,3,wood frame (5),1538039,1538,039,2024-02-07T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.780471605,-122.464991121",https://sfassessor.org/ (search APN 1538039)
Inner Richmond,422 09th Av,15,4,wood frame (5),1536047,1536,047,2025-01-06T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.780306341,-122.4671252",https://sfassessor.org/ (search APN 1536047)
Inner Richmond,4801 Geary Bl,15,4,wood frame (5),1532001,1532,001,1997-08-28T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.78051378,-122.470902961",https://sfassessor.org/ (search APN 1532001)
Inner Richmond,486 Funston Av,15,4,wood frame (5),1532020,1532,020,2022-02-14T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.779084447,-122.471332346",https://sfassessor.org/ (search APN 1532020)
Inner Richmond,5000 California St,15,3,wood frame (5),1372018,1372,018,2024-09-09T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.784759573,-122.471221444",https://sfassessor.org/ (search APN 1372018)
Inner Richmond,555 Arguello Bl,15,3,wood frame (5),1543010,1543,010,2026-02-12T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.780115163,-122.459174084",https://sfassessor.org/ (search APN 1543010)
Inner Richmond,565 08th Av,15,3,wood frame (5),1551055,1551,055,2024-02-14T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.777780197,-122.466529512",https://sfassessor.org/ (search APN 1551055)
Inner Richmond,695 03rd Av,15,3,wood frame (5),1641023,1641,023,2015-08-13T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.775680435,-122.460959132",https://sfassessor.org/ (search APN 1641023)
Inner Richmond,755 05th Av,15,3,wood frame (5),1648011,1648,011,2011-11-15T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.774512925,-122.4630682",https://sfassessor.org/ (search APN 1648011)
Inner Richmond,845 Lake St,15,3,wood frame (5),1369049,1369,049,1993-09-23T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.786298598,-122.468762065",https://sfassessor.org/ (search APN 1369049)
Inner Richmond,14 Clement St,14,3,wood frame (5),1432018,1432,018,1988-10-05T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.783398871,-122.459486775",https://sfassessor.org/ (search APN 1432018)
Inner Richmond,211 Cornwall St,14,4,wood frame (5),1430046,1430,046,2025-12-30T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.784816111,-122.461898735",https://sfassessor.org/ (search APN 1430046)
Inner Richmond,248 Clement St,14,3,wood frame (5),1430047,1430,047,2021-12-21T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.783315866,-122.461803465",https://sfassessor.org/ (search APN 1430047)
Inner Richmond,402 08th Av,14,4,wood frame (5),1537068,1537,068,2014-09-25T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.780620283,-122.466267062",https://sfassessor.org/ (search APN 1537068)
Inner Richmond,402 08th Av,14,4,wood frame (5),1537061,1537,061,2021-09-08T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.780620283,-122.466267062",https://sfassessor.org/ (search APN 1537061)
Inner Richmond,402 08th Av,14,4,wood frame (5),1537067,1537,067,2011-03-25T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.780620283,-122.466267062",https://sfassessor.org/ (search APN 1537067)
Inner Richmond,405 12th Av,14,4,wood frame (5),1532046,1532,046,2021-05-13T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.780436577,-122.470885844",https://sfassessor.org/ (search APN 1532046)
Inner Richmond,4801 Geary Bl,14,4,wood frame (5),1532045,1532,045,2013-01-07T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.78051378,-122.470902961",https://sfassessor.org/ (search APN 1532045)
Inner Richmond,741 Clement St,14,4,wood frame (5),1440047,1440,047,2023-06-01T15:32:31.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.782191936,-122.467255649",https://sfassessor.org/ (search APN 1440047)
Inner Richmond,741 Clement St,14,3,wood frame (5),1440030,1440,030,2023-11-06T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.782191936,-122.467255649",https://sfassessor.org/ (search APN 1440030)
Inner Richmond,745 Clement St,14,3,wood frame (5),1440042,1440,042,2014-05-27T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.78246291,-122.467340252",https://sfassessor.org/ (search APN 1440042)
Inner Richmond,745 Clement St,14,4,wood frame (5),1440031A,1440,031A,2001-10-16T09:44:30.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.78246291,-122.467340252",https://sfassessor.org/ (search APN 1440031A)
Inner Richmond,745 Clement St,14,4,wood frame (5),1440031,1440,031,2001-10-16T09:44:30.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.78246291,-122.467340252",https://sfassessor.org/ (search APN 1440031)
Inner Richmond,800 Clement St,14,2,wood frame (5),1424017,1424,017,2020-10-19T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.78291343,-122.467860154",https://sfassessor.org/ (search APN 1424017)
Inner Richmond,950 Cabrillo St,14,4,wood frame (5),1634018,1634,018,2026-05-21T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.775315628,-122.468975007",https://sfassessor.org/ (search APN 1634018)
Inner Richmond,1010 Anza St,13,4,wood frame (5),1543049,1543,049,2025-07-07T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.779448292,-122.459116525",https://sfassessor.org/ (search APN 1543049)
Inner Richmond,195 02nd Av,13,4,wood frame (5),1362015,1362,015,2026-03-26T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.785175499,-122.460545875",https://sfassessor.org/ (search APN 1362015)
Inner Richmond,2550 Fulton St,13,4,wood frame (5),1644016,1644,016,2021-05-11T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.774428005,-122.459232793",https://sfassessor.org/ (search APN 1644016)
Inner Richmond,295 12th Av,13,3,wood frame (5),1421037,1421,037,2022-10-24T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.782822205,-122.471135142",https://sfassessor.org/ (search APN 1421037)
Inner Richmond,2950 Fulton St,13,4,wood frame (5),1648022,1648,022,2022-10-04T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.773891396,-122.463508326",https://sfassessor.org/ (search APN 1648022)
Inner Richmond,105 Lake St,12,4,wood frame (5),1362001,1362,001,2023-06-21T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.786691186,-122.460653513",https://sfassessor.org/ (search APN 1362001)
Inner Richmond,1227 Anza St,12,4,wood frame (5),1546040,1546,040,2023-11-10T10:12:47.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.779084029,-122.461458109",https://sfassessor.org/ (search APN 1546040)
Inner Richmond,130 Lake St,12,3,wood frame (5),1355015,1355,015,2017-09-15T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.787097486,-122.461001716",https://sfassessor.org/ (search APN 1355015)
Inner Richmond,180 04th Av,12,3,wood frame (5),1363026,1363,026,2023-06-29T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.785523922,-122.462239303",https://sfassessor.org/ (search APN 1363026)
Inner Richmond,184 Funston Av,12,3,wood frame (5),1372026A,1372,026A,2026-02-19T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.784817126,-122.471772324",https://sfassessor.org/ (search APN 1372026A)
Inner Richmond,195 09th Av,12,4,wood frame (5),1369011,1369,011,2026-03-04T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.784904143,-122.46798281",https://sfassessor.org/ (search APN 1369011)
Inner Richmond,201 05th Av,12,4,wood frame (5),1428001,1428,001,2024-11-15T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.784602396,-122.463645438",https://sfassessor.org/ (search APN 1428001)
Inner Richmond,201 11th Av,12,5,wood frame (5),1422001,1422,001,2021-03-04T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.78438298,-122.470158958",https://sfassessor.org/ (search APN 1422001)
Inner Richmond,216 04th Av,12,4,wood frame (5),1430043,1430,043,2024-04-18T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.78446969,-122.462051879",https://sfassessor.org/ (search APN 1430043)
Inner Richmond,245 11th Av,12,4,wood frame (5),1422009,1422,009,2019-12-20T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.78372892,-122.470176574",https://sfassessor.org/ (search APN 1422009)
Inner Richmond,255 09th Av,12,4,wood frame (5),1424011,1424,011,2020-10-17T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.783568513,-122.468008701",https://sfassessor.org/ (search APN 1424011)
Inner Richmond,276 03rd Av,12,4,wood frame (5),1431026,1431,026,2019-05-06T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.783549391,-122.460910516",https://sfassessor.org/ (search APN 1431026)
Inner Richmond,3010 Fulton St,12,4,wood frame (5),1649011E,1649,011E,2026-06-04T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.773825924,-122.464030942",https://sfassessor.org/ (search APN 1649011E)
Inner Richmond,3024 Fulton St,12,3,wood frame (5),1649011F,1649,011F,2017-09-14T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.773863231,-122.464237443",https://sfassessor.org/ (search APN 1649011F)
Inner Richmond,320 11th Av,12,3,wood frame (5),1442047,1442,047,2024-08-07T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.782264291,-122.469411014",https://sfassessor.org/ (search APN 1442047)
Inner Richmond,321 09th Av,12,4,wood frame (5),1441002,1441,002,2019-05-06T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.782350135,-122.467925641",https://sfassessor.org/ (search APN 1441002)
Inner Richmond,325 09th Av,12,3,wood frame (5),1441004,1441,004,2024-04-08T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.782247317,-122.467918197",https://sfassessor.org/ (search APN 1441004)
Inner Richmond,369 03rd Av,12,3,wood frame (5),1435047,1435,047,2025-05-16T15:04:22.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.78169138,-122.461437361",https://sfassessor.org/ (search APN 1435047)
Inner Richmond,3701 Geary Bl,12,4,wood frame (5),1543050,1543,050,2024-08-26T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.781057332,-122.459180918",https://sfassessor.org/ (search APN 1543050)
Inner Richmond,3701 Geary Bl,12,4,wood frame (5),1543060,1543,060,2016-11-17T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.781057332,-122.459180918",https://sfassessor.org/ (search APN 1543060)
Inner Richmond,3701 Geary Bl,12,3,wood frame (5),1543063,1543,063,2012-03-26T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.781057332,-122.459180918",https://sfassessor.org/ (search APN 1543063)
Inner Richmond,3701 Geary Bl,12,4,wood frame (5),1543059,1543,059,2015-06-23T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.781057332,-122.459180918",https://sfassessor.org/ (search APN 1543059)
Inner Richmond,3701 Geary Bl,12,3,wood frame (5),1543057,1543,057,2022-09-19T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.781057332,-122.459180918",https://sfassessor.org/ (search APN 1543057)
Inner Richmond,3701 Geary Bl,12,4,wood frame (5),1543052,1543,052,2017-08-21T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.781057332,-122.459180918",https://sfassessor.org/ (search APN 1543052)
Inner Richmond,3701 Geary Bl,12,3,wood frame (5),1543056,1543,056,2008-02-26T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.781057332,-122.459180918",https://sfassessor.org/ (search APN 1543056)
Inner Richmond,41 Arguello Bl,12,3,wood frame (5),1355005,1355,005,2024-02-27T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.788975345,-122.459810687",https://sfassessor.org/ (search APN 1355005)
Inner Richmond,420 Lake St,12,0,,1353018A,1353,018A,1991-02-08T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.786943579,-122.464119118",https://sfassessor.org/ (search APN 1353018A)
Inner Richmond,430 09th Av,12,3,wood frame (5),1536032,1536,032,2025-05-05T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.780186388,-122.467116517",https://sfassessor.org/ (search APN 1536032)
Inner Richmond,4330 Geary Bl,12,3,wood frame (5),1439020,1439,020,2011-02-23T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.781254484,-122.465935856",https://sfassessor.org/ (search APN 1439020)
Inner Richmond,440 09th Av,12,3,wood frame (5),1536046,1536,046,2025-05-06T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.780066436,-122.467107834",https://sfassessor.org/ (search APN 1536046)
Inner Richmond,4540 California St,12,3,wood frame (5),1367025,1367,025,2024-09-24T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.785024274,-122.466299232",https://sfassessor.org/ (search APN 1367025)
Inner Richmond,495 03rd Av,12,4,wood frame (5),1541017,1541,017,2024-08-22T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.779475813,-122.461125331",https://sfassessor.org/ (search APN 1541017)
Inner Richmond,4950 California St,12,3,constr type 4,1371024,1371,024,2026-03-26T13:36:40.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.784712076,-122.470731054",https://sfassessor.org/ (search APN 1371024)
Inner Richmond,510 Funston Av,12,4,wood frame (5),1555047,1555,047,1991-02-21T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.778524443,-122.471351444",https://sfassessor.org/ (search APN 1555047)
Inner Richmond,530 Lake St,12,3,wood frame (5),1352021,1352,021,2024-06-03T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.786893325,-122.465305929",https://sfassessor.org/ (search APN 1352021)
Inner Richmond,590 04th Av,12,3,wood frame (5),1546020,1546,020,2022-04-06T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.777579479,-122.461702937",https://sfassessor.org/ (search APN 1546020)
Inner Richmond,595 12th Av,12,3,wood frame (5),1555055,1555,055,2017-12-01T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.777173911,-122.470630765",https://sfassessor.org/ (search APN 1555055)
Inner Richmond,595 12th Av,12,4,wood frame (5),1555051,1555,051,2025-02-07T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.777173911,-122.470630765",https://sfassessor.org/ (search APN 1555051)
Inner Richmond,595 12th Av,12,3,wood frame (5),1555057,1555,057,2016-11-22T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.777173911,-122.470630765",https://sfassessor.org/ (search APN 1555057)
Inner Richmond,595 12th Av,12,3,wood frame (5),1555054,1555,054,2024-06-17T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.777173911,-122.470630765",https://sfassessor.org/ (search APN 1555054)
Inner Richmond,595 12th Av,12,4,wood frame (5),1552021,1552,021,2023-12-07T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.777173911,-122.470630765",https://sfassessor.org/ (search APN 1552021)
Inner Richmond,625 Arguello Bl,12,3,wood frame (5),1544054,1544,054,2021-12-16T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.778737661,-122.459072611",https://sfassessor.org/ (search APN 1544054)
Inner Richmond,630 Lake St,12,4,wood frame (5),1351021,1351,021,2025-07-16T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.786803168,-122.466446891",https://sfassessor.org/ (search APN 1351021)
Inner Richmond,650 Lake St,12,3,wood frame (5),1351022,1351,022,2024-06-17T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.786795301,-122.466620681",https://sfassessor.org/ (search APN 1351022)
Inner Richmond,686 11th Av,12,4,wood frame (5),1634018A,1634,018A,2024-06-20T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.77545272,-122.468984932",https://sfassessor.org/ (search APN 1634018A)
Inner Richmond,789 06th Av,12,3,wood frame (5),1649011D,1649,011D,2024-02-26T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.773959138,-122.464037081",https://sfassessor.org/ (search APN 1649011D)
Inner Richmond,242 05th Av,11,3,wood frame (5),1429033,1429,033,2015-07-08T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.784008796,-122.463096051",https://sfassessor.org/ (search APN 1429033)
Inner Richmond,554 06th Av,11,3,wood frame (5),1548036,1548,036,2016-05-19T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.778061763,-122.46374077",https://sfassessor.org/ (search APN 1548036)
Inner Richmond,590 08th Av,11,3,wood frame (5),1550030,1550,030,2023-12-26T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.777391533,-122.465991657",https://sfassessor.org/ (search APN 1550030)
Inner Richmond,765 Cabrillo St,11,2,wood frame (5),1651039,1651,039,2008-09-04T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.775001632,-122.466501708",https://sfassessor.org/ (search APN 1651039)
Inner Richmond,190 08th Av,10,3,wood frame (5),1367028,1367,028,2021-02-19T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.784984688,-122.466534199",https://sfassessor.org/ (search APN 1367028)
Inner Richmond,200 04th Av,10,3,wood frame (5),1430044,1430,044,1987-03-26T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.7846699,-122.462163269",https://sfassessor.org/ (search APN 1430044)
Inner Richmond,200 04th Av,10,3,wood frame (5),1430086,1430,086,1987-03-26T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.7846699,-122.462163269",https://sfassessor.org/ (search APN 1430086)
Inner Richmond,239 02nd Av,10,3,wood frame (5),1431007,1431,007,1999-10-08T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.784230742,-122.46054254",https://sfassessor.org/ (search APN 1431007)
Inner Richmond,277 03rd Av,10,3,wood frame (5),1430048,1430,048,2024-02-21T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.783531537,-122.461569899",https://sfassessor.org/ (search APN 1430048)
Inner Richmond,300 Cabrillo St,10,4,wood frame (5),1640053,1640,053,2023-06-01T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.775631684,-122.462031021",https://sfassessor.org/ (search APN 1640053)
Inner Richmond,335 02nd Av,10,3,wood frame (5),1434008,1434,008,2021-07-19T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.782283896,-122.460401742",https://sfassessor.org/ (search APN 1434008)
Inner Richmond,3838 Geary Bl,10,3,wood frame (5),1434019,1434,019,2023-11-16T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.781491805,-122.460677098",https://sfassessor.org/ (search APN 1434019)
Inner Richmond,410 Lake St,10,1,wood frame (5),1353018,1353,018,1995-10-12T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.786956462,-122.463910778",https://sfassessor.org/ (search APN 1353018)
Inner Richmond,445 Arguello Bl,10,4,wood frame (5),1433008,1433,008,2023-11-02T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.782309069,-122.459330116",https://sfassessor.org/ (search APN 1433008)
Inner Richmond,445 Arguello Bl,10,4,wood frame (5),1433053,1433,053,2021-04-16T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.782309069,-122.459330116",https://sfassessor.org/ (search APN 1433053)
Inner Richmond,445 Arguello Bl,10,4,wood frame (5),1433048,1433,048,2017-05-23T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.782309069,-122.459330116",https://sfassessor.org/ (search APN 1433048)
Inner Richmond,445 Arguello Bl,10,4,wood frame (5),1433057,1433,057,2017-05-23T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.782309069,-122.459330116",https://sfassessor.org/ (search APN 1433057)
Inner Richmond,4450 Geary Bl,10,2,wood frame (5),1440021,1440,021,2006-08-09T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.781191309,-122.467334853",https://sfassessor.org/ (search APN 1440021)
Inner Richmond,500 07th Av,10,3,wood frame (5),1549044,1549,044,1998-04-22T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.778854656,-122.464982477",https://sfassessor.org/ (search APN 1549044)
Inner Richmond,562 06th Av,10,3,wood frame (5),1548035,1548,035,2024-01-02T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.777958945,-122.463733333",https://sfassessor.org/ (search APN 1548035)
Inner Richmond,595 03rd Av,10,4,wood frame (5),1546017,1546,017,2026-06-25T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.777611603,-122.460995108",https://sfassessor.org/ (search APN 1546017)
Inner Richmond,601 Lake St,10,5,constr type 3,1367001,1367,001,2003-08-08T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.786468508,-122.466031229",https://sfassessor.org/ (search APN 1367001)
Inner Richmond,677 Arguello Bl,10,4,wood frame (5),1544070,1544,070,2023-07-07T10:00:31.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.777983662,-122.459018046",https://sfassessor.org/ (search APN 1544070)
Inner Richmond,677 Arguello Bl,10,4,wood frame (5),1544073,1544,073,2023-07-07T10:00:31.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.777983662,-122.459018046",https://sfassessor.org/ (search APN 1544073)
Inner Richmond,677 Arguello Bl,10,4,wood frame (5),1544018,1544,018,2023-07-07T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.777983662,-122.459018046",https://sfassessor.org/ (search APN 1544018)
Inner Richmond,677 Arguello Bl,10,3,wood frame (5),1544074,1544,074,2009-12-28T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.777983662,-122.459018046",https://sfassessor.org/ (search APN 1544074)
Inner Richmond,677 Arguello Bl,10,4,wood frame (5),1544065,1544,065,2019-05-03T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.777983662,-122.459018046",https://sfassessor.org/ (search APN 1544065)
Inner Richmond,700 12th Av,10,4,wood frame (5),1654043,1654,043,2025-09-09T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.774837709,-122.470106456",https://sfassessor.org/ (search APN 1654043)
