company,locations_in_sf,score,in_target_hoods,naics,dbas,mailing_address,sample_addresses
Sf Owner LLC,74,2,"Haight Ashbury, Inner Richmond, Mission, Nob Hill, Outer Richmond","531110, 531311",Sf Owner LLC,"351 California St Fl 14, San Francisco, 94104","100 Broderick St, San Francisco | 1020 Post St, San Francisco | 1050 Post St, San Francisco"
"Sf Apartments Investor Holdings, LLC",63,4,"Haight Ashbury, Inner Richmond, Mission, Nob Hill, Noe Valley, Outer Richmond",531110,"19th 4030 Owner, Lp | 21st 175 Owner, Lp | 23rd 4475 Owner, Lp","1258 Po Box, Portsmouth, 03802","10 Glendale St, San Francisco | 100 Lake St, San Francisco | 1015 Pierce St, San Francisco"
Cbre Inc,41,4,,531390,"Cb Richard Ellis Inc | Cbre Inc | Cbre, Inc","2375 N Glenville Dr Bldg A2fl, Richardson, 75082","1 California St #102, San Francisco | 1 Maritime Plz Ste 1660, San Francisco | 1 Post St Fl 32, San Francisco"
Dewolf Realty Co,37,6,"Haight Ashbury, Inner Richmond, Mission, Nob Hill, Noe Valley, Outer Richmond",531110,Dewolf Realty Co,"4330 Po Box 591540, San Francisco, 94159","1 Toledo Way, San Francisco | 1140 Pine St, San Francisco | 138 Clinton Park #140, San Francisco"
Del Camp Investments Inc,36,4,"Mission, Nob Hill, Noe Valley, Outer Richmond",531110,1290 Hayes Apts | 1333 Castro Bldg | 1367-1373 Hayes Apts,"2120 Market St Ste 100, San Francisco, 94114","1290 Hayes St, San Francisco | 1333 Castro St, San Francisco | 1367 Hayes St, San Francisco"
Castellucci Antonio,32,4,"Inner Richmond, Mission, Nob Hill, Outer Richmond",531311,1103-1113 Treat Ave | 1103-1113 Treat Ave - Commercial | 1152 Jackson St,"1757 Union St, San Francisco, 94123","1103 -111 Treat Ave, San Francisco | 1152 Jackson St, San Francisco | 1207 Chestnut St, San Francisco"
"Sf Multifamily Pool 2-3 (B) Owner, LLC",32,2,"Haight Ashbury, Mission, Nob Hill",531110,"Sf Multifamily Pool 2-3 (B) Owner, LLC","3288 21st St # Pmb 200, San Francisco, 94110","1046 Mason St, San Francisco | 1046 Pacific Ave, San Francisco | 1106 Bush St, San Francisco"
Fillmore Center Associates Lp,30,6,,531110,Fillmore Center | Fillmore Center Apt. | Fillmore Center Parking Garage,"1475 Fillmore St, San Francisco, 94115","1201 Fillmore St, San Francisco | 1301 Fillmore St, San Francisco | 1305 Fillmore St, San Francisco"
Blanding James,25,4,Mission,531210,1035 Ingerson Ave Apts | 1098 Le Conte Apts | 1215 Lane St Apts,"1674 Revere Ave, San Francisco, 94124","1035 Ingerson Ave, San Francisco | 1098 Le Conte Ave, San Francisco | 1215 Lane St, San Francisco"
Boschetti Giampaolo,23,4,"Haight Ashbury, Mission",531110,Giampaolo Boschett | Giampaolo Boschetti,"955 Prague St, San Francisco, 94112","1419 Fulton St, San Francisco | 1428 Hayes St, San Francisco | 156 Central Ave, San Francisco"
Del-Camp Investments Inc,23,4,"Mission, Nob Hill, Noe Valley, Outer Richmond",531110,1225 Jackson Street | 1290 Hayes Apts | 1367-1373 Hayes Apts,"2120 Market St Ste 100, San Francisco, 94114","1225 Jackson St, San Francisco | 1290 Hayes St, San Francisco | 1367 1373 Hayes St, San Francisco"
Ares Commercial Properties,21,6,"Mission, Nob Hill",531210,1118 Harrison St Bldg | 140 10th St Bldg | 142 10th St Bldg,"695 De Long Ave Ste 260, Novato, 94945","1118 Harrison St, San Francisco | 134 10th St # 140, San Francisco | 140 10th St, San Francisco"
"Sf Multifamily Pool 5 (C) Owner, LLC",21,2,"Haight Ashbury, Mission, Nob Hill",531110,"Sf Multifamily Pool 5 (C) Owner, LLC","3288 21st St # Pmb 200, San Francisco, 94110","1485 Clay St, San Francisco | 150 Franklin St, San Francisco | 1836 Mcallister St, San Francisco"
Mehan Properties LLC,19,6,,531110,1090 Francisco St Residential Apt Bldg | 1280 Lombard St Residential Apt Bld | 1425-1431 Kearny St Residential Apt Bldg,"145 Poplar Dr, Kentfield, 94904","1090 Francisco St, San Francisco | 1280 Lombard St, San Francisco | 1425 1431 Kearny St, San Francisco"
Murphy San Francisco Limited Partnership,16,4,"Haight Ashbury, Mission, Nob Hill",53,1030 Franklin St | 1200-1202 Hampshire | 1250 Grove St,"1355 Valencia St, San Francisco, 94110","1030 Franklin St, San Francisco | 1200 Hampshire St, San Francisco | 1250 Grove St, San Francisco"
Unif Inc,16,4,"Inner Richmond, Mission, Outer Richmond",53,1074-1074a Florida St | 1229-1229 1/2 Cortland Ave | 1421 48th Ave,"500 Masonic Ave, San Francisco, 94117","1074 Florida St, San Francisco | 1166 Geneva Ave, San Francisco | 1229 Cortland Ave, San Francisco"
Crest Royal Corp,14,4,Nob Hill,531110,Crest Royal Apartments | Warehouse Rental,"3450 3rd St Ste 1a, San Francisco, 94124","1310 Jones St, San Francisco | 250 Toland Place, San Francisco | 606 Toland Pl, San Francisco"
Cushman & Wakefield Inc,13,4,Nob Hill,531210,Cushman & Wakefield,"425 Market St Ste 2300, San Francisco, 94105","150 Post St, San Francisco | 201 Spear St, San Francisco | 345 California St, San Francisco"
Mccormick Thomas E,13,4,"Mission, Noe Valley",531110,1910-1914a Folsom Apts | 1916-1918 Folsom Rentals | 25 Corwin St Apts,"1 Rosemary Ct, San Francisco, 94116","1 Rosemary Ct, San Francisco | 1910 Folsom St, San Francisco | 1916 Folsom St, San Francisco"
"Hfgo Investors, LLC",13,2,,531390,"Hfgo Investors, LLC","8214 Westchester Dr Ste 550, Dallas, 75225","1720 Fulton St, San Francisco | 1730 Fulton St, San Francisco | 1770 Fulton St, San Francisco"
Bayview Property Managers,12,6,,531210,1021 Newhall Bldg | 1039 Palou Bldg | 1210 Newhall Apts,"1674 Revere Ave, San Francisco, 94124","1024 Newhall St, San Francisco | 1039 Palou Ave, San Francisco | 1210 Newhall St, San Francisco"
Dolmen Property Group LLC,12,6,"Mission, Outer Richmond",531311,2927-2929 Folsom St Apts | Dolmen Property Group | Dolmen Property Group LLC,"964 Natoma St, San Francisco, 94103","1 Jones St, San Francisco | 1279 19th Ave, San Francisco | 1452 Broadway, San Francisco"
"Essex Portfolio, Lp",12,4,,531110,Bennett Lofts | Bennett Lofts Potrero Hill | Bennett Lofts Soma,"1100 Park Pl Ste 200, San Mateo, 94403","1001 Mariposa St, San Francisco | 1200 14th Ave, San Francisco | 1200 4th St, San Francisco"
Fraige Richard,12,4,,531110,Hayes Valley Properties,"Po Box 475730, San Francisco, 94147","469 IVy St, San Francisco | 500 Hayes St, San Francisco | 511 Hayes St, San Francisco"
Jones Lang Lasalle Americas,12,4,,531390,Jones Lang Lasalle | Jones Lang Lasalle Americas | Lasalle Investment Mgmt Inc,"200 E Randolph St Ste 4300, Chicago, 60601","1 Front St, San Francisco | 1 Front Street Ste 2100, San Francisco | 101 2nd St, San Francisco"
Khostovan Ali & Fatemah,12,4,"Haight Ashbury, Inner Richmond, Mission, Outer Richmond",53,1133 Hayes St | 1409 Shrader St | 1410 Guerrero St,"506 Craig Rd, Hillsborough, 94010","1133 Hayes St, San Francisco | 1409 Shrader St, San Francisco | 1410 Guerrero St, San Francisco"
Mar Nancy A,12,4,"Inner Richmond, Nob Hill",531110,1390 Pine St Apts | 1390 Pine Street Apartments | 1415 Franklin St Apts,"Po Box 641041, San Francisco, 94164","1390 Pine St, San Francisco | 1415 Franklin St, San Francisco | 1452 Clay St #1466, San Francisco"
Ralston Capital Sfmf IV LLC,12,4,,531110,"Arzo Hair Culture | Copas | Doctor Of Chiropractic, Inc.","2215r Market St, San Francisco, 94114","2215 Market St, San Francisco | 2215 R Market St, San Francisco | 2217 Market St, San Francisco"
Varni Anthony,12,4,"Inner Richmond, Mission, Outer Richmond",531110,461-469 Chestnut St Apts | Anthony Varni | National Real Estate Co,"217 Balboa St, San Francisco, 94118","1065 Dolores St #75, San Francisco | 124 -134 Page St, San Francisco | 217 Balboa St, San Francisco"
Wai John E 1981 Lvg Trust,12,2,"Haight Ashbury, Inner Richmond, Mission, Nob Hill, Outer Richmond",531110,1086 Post St Apts | 1111-1133 Green St Apts | 1415-1417 1/2 Guerrero St Apts,"Po Box 1295, Carson City, 89702","1086 Post St, San Francisco | 1111 Green St #1133, San Francisco | 1111 Jones St, San Francisco"
Kv Lee Properties LLC,11,6,Mission,53,1090 Bryant St - Commercial Bldg | 1400 9th Ave - Commercial Bldg | 1971 Fillmore St - Commercial Bldg,"5429b Geary Blvd, San Francisco, 94121","1090 Bryant St, San Francisco | 1400 9th Ave, San Francisco | 1404 9th Ave, San Francisco"
Bartholomew Murphy,11,4,"Mission, Nob Hill",53,1355 Pine St | 1427-33 S. Van Ness | 1435 Larkin,"1355 Valencia St, San Francisco, 94110","1355 Pine St, San Francisco | 1427 S Van Ness Ave #, San Francisco | 1435 Larkin St, San Francisco"
Galu Dominic-Philip Etal Fam T,11,4,Mission,531110,1068 South Van Ness | 3172 - 24th St | 3174 24 St Discodelic LLC,"353 E 10 St E 521 Ste, Gilroy, 95020","1068 S Van Ness Ave, San Francisco | 3172 24th St, San Francisco | 3174 24th St, San Francisco"
"Grm Two, LLC",11,4,,531110,401 Haight Street Commercial | 411 Haight Street Commercial | 413 Haight Commercial,"900 Van Ness Ave Ste 102, San Francisco, 94109","401 Haight St, San Francisco | 411 Haight St, San Francisco | 413 Haight St, San Francisco"
W J Britton & Co,11,4,"Mission, Noe Valley",531210,1000 Geneva Av Apts | 123 South Van Ness Ave Bldg | 131 Van Ness Ave Bldg,"1345 Mission St, San Francisco, 94103","1000 Geneva Ave, San Francisco | 123 S Van Ness Ave, San Francisco | 131 S Van Ness Ave, San Francisco"
Central Family Trust,11,2,,"53, 531110",1301 17th St | 1401 17th St | 1501 Baker St,"Po Box 597004, San Francisco, 94159","1301 17th St, San Francisco | 1401 17th St, San Francisco | 1501 Baker St, San Francisco"
Colabianchi Sebastian F,10,4,"Haight Ashbury, Inner Richmond",531110,1310 12th Av Apts | 1633 Waller St Apts | 1851 8th Av Apts,"Po Box 419, Millbrae, 94030","1310 12th Ave, San Francisco | 1659 Waller St, San Francisco | 1663 Waller St, San Francisco"
Japanese Amer Relgs Fed Hsng,10,4,,531110,Nihonmachi Terrace,"0000 Undeliverable Mail, San Francisco, 99999","1490 Post St, San Francisco | 1510 Post St, San Francisco | 1530 Post St, San Francisco"
Tenderloin Neighborhood Dev,10,4,"Haight Ashbury, Mission",531110,Aarti Hotel | Alexander Gp LLC | Ambassador Hotel,"201 Eddy St, San Francisco, 94102","1601 Howard St, San Francisco | 201 Eddy St, San Francisco | 216 Eddy St, San Francisco"
Victor Makras,10,4,"Haight Ashbury, Noe Valley",531311,1185-1193 Church St. | 1677-1681 Haight St. | 188 King #309,"1193 Church St, San Francisco, 94114","1193 Church St, San Francisco | 1677 Haight St, San Francisco | 188 King St 307, San Francisco"
Artal Family Lp,10,2,"Inner Richmond, Mission, Noe Valley",531110,100 Portola Drive | 107 11th Avenue | 116 Portola Drive,"44 Crown Ter, San Francisco, 94114","100 Portola Dr, San Francisco | 107 11th Ave, San Francisco | 116 Portola Dr, San Francisco"
"Edward A. Mazzei And Sharon A. Mazzei, Trustees Of The Mazzei Family Trust",10,2,,531110,Mazzei Family Trust,"281 Lassen Dr, San Bruno, 94066","5158 3rd St A, San Francisco | 5158 3rd St Apt, San Francisco | 5160 3rd St, San Francisco"
Gaehwiler Family LLC,10,2,"Mission, Nob Hill",531110,10 Argent Alley | 1004 Treat Ave | 1230 Washington St,"Po Box 318008, San Francisco, 94131","10 Argent Way, San Francisco | 1004 Treat Ave, San Francisco | 1230 Washington St, San Francisco"
Levinson Family Revocable Trust,10,2,"Haight Ashbury, Mission, Nob Hill",531110,Cream | Elegant Laundry | Giordano's,"Po Box 470093, San Francisco, 94147","1025 Jackson St, San Francisco | 1201 Green St, San Francisco | 135 Capp St, San Francisco"
Arriaza Raul,9,3,"Haight Ashbury, Noe Valley",531110,101 Jersey St. | 1080-2 Potrero St. | 1233 Arguello,"608 Portola Dr, San Francisco, 94127","1301 Evans, San Francisco | 1475 Haight St, San Francisco | 1524 Jackson St, San Francisco"
Avalonbay Communities Inc,9,3,Nob Hill,531110,Ava 55 Ninth | Avalon At Mission Bay II | Avalon At Nob Hill,"4040 Wilson Blvd Ste 1000, Arlington, 22203","1150 Ocean Ave, San Francisco | 255 King St, San Francisco | 325 Octavia St, San Francisco"
Conner Edward J,9,3,,531110,2120 Steiner Apts | 2126 Steiner Rentals | 2472-2474 California Rentals,"3001 Laguna St, San Francisco, 94123","2120 Steiner St, San Francisco | 2126 Steiner St, San Francisco | 2472 California St, San Francisco"
Li Don/Donna/Calvin/Gregory,9,3,Nob Hill,531110,1385 Pine St Apts | 1441 Larkin St Apts | 1454 Taylor St Apts,"1653 Sacramento St, San Francisco, 94109","1385 Pine St, San Francisco | 1441 Larkin St, San Francisco | 1454 Taylor St, San Francisco"
Sf Jv LLC,9,3,"Nob Hill, Outer Richmond",531311,2073 Market | 2075-2079 Market Street | 2077 Market Street,"351 California St Fl 14, San Francisco, 94104","2073 Market St, San Francisco | 2075 Market St, San Francisco | 2077 Market St # A, San Francisco"
The Gruber Family Partners,9,3,"Inner Richmond, Nob Hill, Outer Richmond",531110,1590 Sacramento Apts | 180 4th Ave Apts | 2190 Beach St Apts,"Po Box 470126, San Francisco, 94147","1590 Sacramento St, San Francisco | 180 4th Ave, San Francisco | 2190 Beach St, San Francisco"
John P Brennan Company LLC,8,5,Haight Ashbury,53,115 Mason | 1463-67 Haight St | 1754-64 Haight St Apartments,"50 Everson St, San Francisco, 94131","115 Mason St, San Francisco | 1463 Haight St, San Francisco | 1754 Haight St #64, San Francisco"
Joseph Torrano,8,3,Noe Valley,531110,1360 Green St | 1840 Green St | 2525 Polk,"460688 Po Box, San Francisco, 94146","1395 Church St, San Francsico | 2527 Polk St, San Francisco | 29th St, San Francisco"
"Jppf 1155 Battery, L.P.",8,3,,531312,"Jppf 1155 Battery, L.P. | Jppf 1155 Battery, Lp | Levi's Plaza Garage","1105 Battery St, San Francisco, 94111","101 Lombard St, San Francisco | 1105 Battery St, San Francisco | 1155 Battery St, San Francisco"
Lee Shing K,8,3,Outer Richmond,53,1030 Irving St Apartments | 1323 - 1325 9th Ave Apts | 1327 Taraval St Apts,"1327 Taraval St, San Francisco, 94116","1030 Irving St, San Francisco | 11 Belden Pl, San Francisco | 1323 9th Ave, San Francisco"
Luna Leticia,8,3,Mission,53,Hi  Tops | Last Rites | Leticia  Luna,"Po Box 411622, San Francisco, 94141","2200 Market St Ste 101, San Francisco | 2200 Market St Ste 102, San Francisco | 2247 Market St, San Francisco"
Mcnair James P Co Inc,8,3,,531110,1249 16th Av Apts | 1278 25th Av Apts | 1281 24th Av Apts,"2236 Irving St, San Francisco, 94122","1249 16th Ave, San Francisco | 1278 25th Ave, San Francisco | 1281 24th Ave, San Francisco"
New California Land,8,3,Outer Richmond,531110,"1376 - 1392 Union Street, San Francisco, Ca 94109 | 1539 Greenwich Street, San Francisco, Ca 94123 | 1714-1728 Filbert Street, San Francisco, Ca 94123","Po Box 591540, San Francisco, 94159","1539 Greenwich St, San Francisco | 1731 Chestnut St, San Francisco | 3025 Steiner St, San Francisco"
Romel California LLC,8,3,"Inner Richmond, Nob Hill",531110,1 Toledo Way | 1385 Clay Street | 1391 8th Avenue,"400 S El Camino Real Ste 760, San Mateo, 94402","1 Toledo Way, San Francisco | 1385 Clay St, San Francisco | 1391 8th Ave, San Francisco"
Talmage Oa Co Inc Bruenn,8,3,Haight Ashbury,531110,1961 Filbert Rentals | 21-23 Beulah St Apts | 769-771 Cole St Apartments,"Po Box 591540, San Francisco, 94159","1961 Filbert St, San Francisco | 21 Beulah St, San Francisco | 769 Cole St, San Francisco"
Charge Partners LLC,7,5,"Mission, Outer Richmond",531110,2562 Post Street | 460 Lyon Street San Francisco Ca | 511 Lv,"Po Box 71509, Oakland, 94612","1100 8-14 Nobles Aly, San Francisco | 2562 Post St, San Francisco | 332 19th Ave #334, San Francisco"
Golden Properties LLC,7,5,,531110,2033-37 Oak Street | 2059 Golden Gate Avenue | 421 Arguello Blvd,"2170 Sutter St, San Francisco, 94115","1052 -105 Folsom St #, San Francisco | 1060 Folsom St, San Francisco | 1125 Folsom St, San Francisco"
Industrious National Management Company LLC,7,5,,531390,Industrious 525 Market Amenity Management LLC | Industrious Sf 1700 Montgomery Street LLC | Industrious Sf 255 California Street LLC,"228 Park Ave S Unit 54351, New York, 10003","1700 Montgomery St Ste 108, San Francisco | 228 Park S Ave Unit 543, New York | 228 Park S Ave, New York"
Rosano Properties LLC,7,5,Haight Ashbury,531110,570 Union Street San Francisco Ca | 6026 California Street San Francisco Ca 94121 | 739 36th Ave San Francisco Ca 94121,"430 Bay Shore Blvd, San Francisco, 94124","1841 Chestnut St, San Francisco | 2130 Jackson St, San Francisco | 2150 Jackson St, San Francisco"
Agentdesks Incorporated,7,3,,531210,1 Vision Properties | 1 Vision Real Estate | 1 Vision Real Estate Group,"1160 Battery St # 100ste, San Francisco, 94111","1160 Battery E St Bldg 100, San Francisco | 1160 Battery E St Ste 100, San Francisco | 1160 Battery Se St Ste 100, San Francisco"
Angstenberger Manfred,7,3,,531110,115 Gough St | 1355 Willard | 25 Hugo Street,"1407 5th Ave, San Francisco, 94122","115 Gough St, San Francisco | 1355 Willard St, San Francisco | 25 Hugo St, San Francisco"
Christoforidis Andreas,7,3,,53,1168 Bryant St Bldg | 1275 Thomas Ave Bldg | 1665 Quesada Ave Bldg,"1775 Egbert Ave, San Francisco, 94124","1168 Bryant St, San Francisco | 1275 Thomas Ave, San Francisco | 1665 Quesada Ave, San Francisco"
Daniel S. Hoshiyama,7,3,Haight Ashbury,531110,Daniel S. Hoshiyama,"1436 Moraga St, San Francisco, 94122","131 Hugo, San Francisco | 1350 11 Ave, San Francisco | 1418 La Playa, San Francisco"
Haramis Peter & Maria,7,3,Noe Valley,531110,160 Church St Bldg | 1750 Church St Building | 256 Columbus Ave Building,"90 Santa Paula Ave, San Francisco, 94127","160 Church St, San Francisco | 1750 Church St, San Francisco | 256 Columbus Ave, San Francisco"
Lapidos Jack M,7,3,"Mission, Nob Hill",531110,1254-1256 Fell St Apts | 2064-2068 Golden Gate Av Apts | 3000 Pine Street Apts,"2424 Pine St, San Francisco, 94115","1254 Fell St, San Francisco | 2064 Golden Gate Ave, San Francisco | 3000 Pine St, San Francisco"
Scher Daniel,7,3,"Haight Ashbury, Nob Hill",531110,Sugar Plum Properties,"1569 Solano Ave, Berkeley, 94707","1053 Bush St, San Francisco | 201 Steiner St, San Francisco | 2245 Larkin St, San Francisco"
Sim & Yoon LLC,7,3,,53,Sim & Yoon Corporation | Sim & Yoon LLC | Sim &V Yoon LLC,"5758 Geary Blvd Unit 236, San Francisco, 94121","1601 Fillmore St, San Francisco | 1700 Post St, San Francisco | 1702 Post St, San Francisco"
Sunhill Enterprises Lp,7,3,Nob Hill,53,665 Chestnut | Office Building | Sunhill Enterprises Lp,"147 Lomita Dr # Gste, Mill Valley, 94941","1414 Van Ness Ave, San Francisco | 1515 Scott St, San Francisco | 2201 Post St #2211, San Francisco"
T & A Drolapas & Sons L.P.,7,3,"Mission, Noe Valley, Outer Richmond",531110,1705 Church St Bldg | 3380 21st St Apts | 3606 18th St Apts,"611 Santa Florita Ave, Millbrae, 94030","1705 Church St, San Francisco | 3380 21st St, San Francisco | 3606 18th St, San Francisco"
Weyman Lee,7,3,,531312,Lee/Su Family Corporation,"1729 11th Ave, San Francisco, 94122","1280-1286 Green St, San Francisco | 1919 Hyde St, San Francisco | 1921 Hyde St, San Francisco"
Wong Donna,7,3,Nob Hill,53,1143-1151 Bay St Apartments | 1539 Clay St Apartments | 1745 Washington St Apartments,"275 Marina Blvd, San Francisco, 94123","1143 Bay St, San Francisco | 1539 Clay St, San Francisco | 1745 Washington St, San Francisco"
Community Housing Partnership,6,5,,531110,Cambridge Apartments | Homerise | Iroquois Hotel,"Po Box 237, San Francisco, 94104","1000 Market St, San Francisco | 473 Ellis St, San Francisco | 519 Ellis St # 200, San Francisco"
Frank Properties (Commercial),6,5,Inner Richmond,53,1345 Noriega | 1728 Noriega | 22 Cleveland,"311 S Ellsworth Ave, San Mateo, 94401","1345 Noriega St, San Francisco | 1728 Noriega St, San Francisco | 22 Cleveland St, San Francisco"
H/S Partners II Lp,6,5,Nob Hill,53,1875 California Street | 585 Page Street | 757 Leavenworth Street,"1704 Union St, San Francisco, 94123","1350 Pine St, San Francisco | 1372 Pine St, San Francisco | 1704 Union St, San Francisco"
Hfb Properties Lp,6,5,Nob Hill,531110,Hfb Properties Headquarters | Hfb Properties Lp,"2308 Edwards St, Berkeley, 94702","2308 Edwards St, Berkeley | 535 Geary St, San Francisco | 627 Taylor St, San Francisco"
Home Realty,6,5,"Mission, Nob Hill",531311,1122-1128 Mason St | 1456 Vallejo St | 2206-2216 Polk St,"1757 Union St, San Francisco, 94123","1128 Mason St, San Francisco | 1456 Vallejo St, San Francisco | 1757 Union St, San Francisco"
Rigo Industrial Properties,6,5,Mission,531210,1020 Harrison Bldg | 111/21 New Montgomery Bldg | 1140 Howard St Bldg,"695 De Long Ave Ste 260, Novato, 94945","1020 Harrison St, San Francisco | 111 New Montgomery St, San Francisco | 1140 Howard St, San Francisco"
Sojourn Properties Inc,6,5,Nob Hill,531110,Chase Hotel | Donnelly Hotel | Harcourt Hotel,"1104 Sutter St, San Francisco, 94109","1105 Larkin St, San Francisco | 1105 Post St, San Francisco | 1272 Market St, San Francisco"
Webco Group LLC,6,5,"Haight Ashbury, Nob Hill","53, 531110",Webco Group LLC,"1489 Webster St Ste 232, San Francisco, 94115","1085 Washington St, San Francisco | 121 Broderick St, San Francisco | 155 Haight St, San Francisco"
Alta Laguna LLC,6,3,,531110,Alchemy By Alta,"808 Washington St Ste 500, Vancouver, 98660","100 Waller St, San Francisco | 101 Waller St, San Francisco | 155 Laguna St, San Francisco"
Alvin B Chan Inc,6,3,,"53, 531110",1418 Stockton Property | 1426 Stockton St. | 401-451 Columbus Apts & Bldg,"130 Waverly Pl, San Francisco, 94108","1418 Stockton St, San Francisco | 1426 Stockton St, San Francisco | 401 Columbus Ave, San Francisco"
Broadwell LLC,6,3,,531110,1350-1364 Powell St | 781-799 Broadway St | 819-831 Sacramento St Apts,"635 Vallejo St, San Francisco, 94133","1350 Powell St, San Francisco | 1362 Powell St, San Francisco | 781 Broadway, San Francisco"
Cadgene Allan H,6,3,"Haight Ashbury, Mission",531110,2863 Octavia St | 400 To 410 Cole St Apts | 865 Florida Apts,"2088 Union St, San Francisco, 94123","2088 Union St Ste 1, San Francisco | 2863 Octavia St, San Francisco | 2936 Webster St, San Francisco"
Chang George & Jenny,6,3,,53,1830-1838 Irving Street | Asian American Enterprises,"1929 Irving St 307 Ste, San Francisco, 94122","1307 20th Ave, San Francisco | 1830 Irving St, San Francisco | 1838 Irving St, San Francisco"
Chris Mak,6,3,,531110,Chris Mak,"945 Taraval St, San Francisco, 94116","1392 Funston Ave, San Francisco | 1800 16th Ave, San Francisco | 2131 Grove St, San Francisco"
Compass California II Inc,6,3,Noe Valley,531210,Compass | Compass Commerical | Compass Development,"891 Beach St, San Francisco, 94109","1 Bristol Ct Apt 107, San Francisco | 1699 Van Ness Ave, San Francisco | 3512 16th St, San Francisco"
Deamicis Clement D & Roseanne,6,3,"Nob Hill, Noe Valley",531390,1250 Broderick St Parking | 473 Elizabeth Apts Parking | Trac Properties,"3140 Geary Blvd, San Francisco, 94118","1044 Pine St, San Francisco | 1250 Broderick St, San Francisco | 172 Locksley St, San Francisco"
Dudum Manuel G,6,3,,531110,36 Cervantes Blvd Apts | 765 Burnett Av Apts | 785 Burnett Av Apts,"Po Box 591540 Po Box 591540, San Francisco, 94159","36 Cervantes Blvd, San Francisco | 765 Burnett Ave, San Francisco | 785 Burnett Ave, San Francisco"
Huffman Margaret,6,3,Mission,531110,1105 Guerrero St | 1181 Guerrero St | 177 Fair Oaks St,"260 Fair Oaks St, San Francisco, 94110","1105 Guerrero St, San Francisco | 1181 Guerrero St, San Francisco | 177 Fair Oaks St, San Francisco"
Irving & Mission LLC,6,3,,53,1352 Irving St Bldg | 3151 Mission St Bldg | 3157 Mission St Bldg,"Po Box 591556, San Francisco, 94159","1288 15th Ave, San Francisco | 1352 Irving St, San Francisco | 1368 Irving St, San Francisco"
Jack Lee Fong & Dorothy Der Fong Fam Tr Dated 6/28/1991,6,3,Mission,53,18th Street Rental | 19th Street Rental | 575 Columbus Avenue Residential Rental,"466 Green St Ste 302, San Francisco, 94133","131 Jasper St, San Francisco | 2453 Lombard St, San Francisco | 3428 19th St, San Francisco"
John Healy,6,3,Haight Ashbury,531110,1600 Larkin St | 1801 38th Ave | 2401-2411 Fillmore St.,"0000 Undeliverable Mail, San Francisco, 99999","1600 Larkin St, San Francisco | 2693 Sutter St, San Francisco | 327 -335 23rd Ave #, San Francisco"
Kingsley Sanford,6,3,"Haight Ashbury, Nob Hill",531110,1301 Leavenworth St Apts | 156 Parnassus Ave Apts | 170 Parnassus Ave Apts,"Po Box 190445, San Francisco, 94119","1031 Leavenworth St, San Francisco | 156 Parnassus Ave, San Francisco | 170 Parnassus Ave, San Francisco"
Leung Eugene,6,3,"Haight Ashbury, Noe Valley, Outer Richmond",531110,1043-1049 Noe St Apts | 116-122 Vicksburg St Apts | 291-297 18th Ave Apts,"Po Box 460082, San Francisco, 94146","1043 Noe St #1049, San Francisco | 116 Vicksburg St #122, San Francisco | 291 18th Ave #297, San Francisco"
Mccahill Katherine M,6,3,Noe Valley,531110,Peace Within Getaways,"Po Box 318085, San Francisco, 94131","1604 Sanchez St #4, San Francisco | 1604 Sanchez St #5, San Francisco | 1604 Sanchez St #6, San Francisco"
Mckeever G IIi/Mairi S,6,3,Haight Ashbury,531110,501-503 Ashbury St | 525-529 Irving St Building | 583-591 Haight St Apts,"Po Box 320367, San Francisco, 94132","501 Ashbury St, San Francisco | 525 Irving St, San Francisco | 589 Haight St #593, San Francisco"
Mei Lun Yuen Inc,6,3,,531110,Mei Lun Yuen Inc,"945 Sacramento St, San Francisco, 94108","151 Joice St, San Francisco | 725 Stockton St, San Francisco | 777 Stockton St, San Francisco"
Murphy Marguerita,6,3,"Mission, Noe Valley",531110,1250 Sanchez Street | 1950-1960 Green St | 202-204 Clipper,"236 West Portal Ave, San Francisco, 94127","1250 Sanchez St, San Francisco | 1950 Green St #1960, San Francisco | 202 -204 Clipper St, San Francisco"
Pritchard Robert & Avelina,6,3,"Haight Ashbury, Mission, Noe Valley",53,131-135 Duboce Apts | 135 Clipper St Apts | 165-171 Chattanooga Apts,"Po Box 460042, San Francisco, 94146","131 Duboce Ave, San Francisco | 135 Clipper St, San Francisco | 165 Chattanooga St, San Francisco"
Smithton Robert L,6,3,"Haight Ashbury, Mission, Noe Valley",531110,28-34 Richardson Av Apartments | 2906 Van Ness Ave | 3050 22nd St Apts,"Po Box 591540, San Francisco, 94159","28 Richardson Ave, San Francisco | 2906 Van Ness Ave, San Francisco | 3050 22nd St, San Francisco"
Toboni Joseph P,6,3,Mission,531110,2100 Mission Street LLC | Jt Builders | Oakland Ranch,"3364 Sacramento St, San Francisco, 94118","1165 Bay St, San Francisco | 135 Saint Francis Blvd, San Francisco | 135 St Francis Blvd, San Francisco"
Vaccaro Enterprises Lp,6,3,"Mission, Noe Valley",531110,10 Corwin Street | 1123 Stanyan St Apt | 119 Day St Apt,"Po Box 318130, San Francisco, 94131","10 Corwin St, San Francisco | 1123 Stanyan St, San Francisco | 119 Day St, San Francisco"
