company,locations_in_sf,score,in_target_hoods,naics,dbas,mailing_address,sample_addresses
"T8 Urban Housing Associates Bmr, L.P.",1,2,,531110,"T8 Urban Housing Associates Bmr, L.P.","201 Eddy St, San Francisco, 94102","450 Folsom St, San Francisco"
Taisch Real Estate Inc,1,2,Noe Valley,531210,Taisch Real Estate Inc,"2424 Pine St, San Francisco, 94115","301 Jersey St #3, San Francisco"
Tankri Properties LLC,1,2,,531110,Tankri Properties LLC,"5655 Silver Creek Valley Rd 246 Rd, San Jose, 95138","5655 Silver Creek Valley Rd, #246 Rd, San Jose"
"Tapestry Properties, Inc.",1,2,,531110,Tapestry Properties,"769 Monterey Blvd 2 Ste, San Francisco, 94127","769 Monterey Blvd Ste 2, San Francisco"
Targa Residential Brokerage Inc,1,2,,531110,Targa Residential Brokerage Inc.,"Po Box P.O.Box 475368, San Francisco, 94102","1390 Market St Ste 200, San Francisco"
Taylor St Rentals,1,2,,531110,2701-2731 Taylor St Rentals,"220 Jackson St Fl 3, San Francisco, 94111","2701 Taylor St #2731, San Francisco"
Tcli Realty Inc,1,2,,531210,Tcli Realty Inc,"1991 20th Ave, San Francisco, 94116","1991 20th Ave, San Francisco"
Telegraph Hill Apartments LLC,1,2,,53,Telegraph Hill Apartments LLC,"466 Green St Ste 203, San Francisco, 94133","400 Union St, San Francisco"
"Temescal Creek Properties 1, LLC",1,2,Mission,531110,"Temescal Creek Properties 1, LLC","626 El Camino Real, San Carlos, 94070","1069 Capp St, San Francisco"
"Temescal Creek Properties 2, LLC",1,2,Mission,531110,"Temescal Creek Properties 2, LLC","626 El Camino Real, San Carlos, 94070","1110 S Van Ness Ave, San Francisco"
Ten Squared Properties LLC,1,2,,531110,Not Available,"1603 2nd St, Manhattan Beach, 90266","1083 Lombard St, San Francisco"
The Arc Apartments Lp,1,2,,531110,The Arc Apartments Lp,"1388 Sutter St Fl 11, San Francisco, 94109","416 Bay St, San Francisco"
The Bunny Group,1,2,,53,The Bunny Group,"2576 26th Ave, San Francisco, 94116","2576 26th Ave, San Francisco"
The Busterjosie Group,1,2,,531210,The Busterjosie Group,"1515 Golden Gate Ave, San Francisco, 94115","1515 Golden Gate Ave, San Francisco"
The Crossings Associates,1,2,,531110,77 Bluxome,"0000 Undeliverable Mail, San Francisco, 99999","77 Bluxome St, San Francisco"
The First Keil Company,1,2,,531312,The First Keil Company,"244 Kearny St, San Francisco, 94108","244 Kearny St Fl 3, San Francisco"
The Fracchia Real Estate Group,1,2,,531210,The Fracchia Real Estate Group,"62 Ulloa St, San Francisco, 94127","62 Ulloa St, San Francisco"
The Gruber Partners,1,2,Outer Richmond,531110,7450 Geary Blvd Apts,"Po Box 470126, San Francisco, 94147","7450 Geary Blvd, San Francisco"
"The Housing Guild Management Co., Inc.",1,2,Inner Richmond,531110,The Housing Guild,"4630 Geary Blvd Ste 200, San Francisco, 94118","4630 Geary Blvd Ste 200, San Francisco"
"The Kenilworth Apartments, LLC",1,2,,531110,"The Kenilworth Apartments, LLC","2960 Van Ness Ave Ste C, San Francisco, 94109","2960 Van Ness Ave Ste C, San Francisco"
The Knox Partners Lp,1,2,,531110,Knox Sro,"230 4th St, San Francisco, 94103","241 6th St, San Francisco"
The Prado Group Inc,1,2,,531110,The Prado Group Inc,"150 Post St Ste 320, San Francisco, 94108","150 Post St Ste 320, San Francisco"
The Roxborough Group LLC,1,2,,531390,The Roxborough Group LLC,"1 Bush St Ste 1450, San Francisco, 94104","1 Bush St Ste 1450, San Francisco"
"The Swann Group Sf, Inc.",1,2,Noe Valley,531210,"The Swann Group Sf, Inc.","3927 24th St, San Francisco, 94114","3927 24th St, San Francisco"
"The Topham Company, LLC",1,2,,53,"The Topham Company, LLC","220 Montgomery St Ste 1940, San Francisco, 94104","220 Montgomery St Ste 1940, San Francisco"
The Vanmark Group Inc,1,2,,531390,The Vanmark Group Inc,"555 Miner Rd, Orinda, 94563","735 Market St Fl 3, San Francisco"
Third Act Properties LLC,1,2,Mission,531390,Third Act Properties LLC,"920 Guerrero St Ste 926, San Francisco, 94110","920 Guerrero St Ste 926, San Francisco"
Thirdkey Properties LLC,1,2,,531110,Thirdkey Properties LLC,"500 Westover Dr 10195 Ste, Sanford, 27330","500 Westover Dr 10195, Sanford"
Thompson Olivia Properties LLC,1,2,,531110,Thompson Olivia Properties LLC,"60 Singingwood Ln, Orinda, 94563","53 Eureka St, San Francisco"
Thompson-Oliva Properties LLC,1,2,,531110,Thompson-Oliva Properties LLC,"60 Singingwood Ln, Orinda, 94563","2645 Market St, San Francisco"
Thunderbird Real Estate LLC,1,2,,531110,Thunderbird Real Estate LLC,"1690 Filbert St Ste A, San Francisco, 94920","1690 Filbert St Apt, San Francisco"
Tilmar Properties LLC,1,2,,531110,4687/4689 Mssion Bldg,"25960 Via Margarita, Carmel, 93923","4687 Mission St, San Francisco"
Tilton-Maiden Lane Partners Lp,1,2,,531312,Tilton-Maiden Lane Partners Lp,"1250 Martin Luther King Jr Way, Oakland, 94612","120 Maiden Ln, San Francisco"
"Tjc Group, LLC",1,2,,53,1790 27th Av Apts | 1790 27th Ave Commercial,"399 30th Ave, San Francisco, 94121","1790 27th Ave, San Francisco"
Tl Management LLC,1,2,,531390,Tl Management LLC,"355 Hayes St, San Francisco, 94102","355 Hayes St, San Francisco"
Tom Group LLC,1,2,,531110,Tom Group LLC,"12 Connemara Dr, Pacifica, 94044","12 Connemara Dr, Pacifica"
Top Tier Property Management LLC,1,2,,531390,Top Tier Property Management LLC,"3535 Market St, San Francisco, 94131","3535 Market St, San Francisco"
